# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
bao kuo 	包括	c=4 d=1.0542 t=10447
bao liu 	保留	c=5 d=1.00006 t=8355
bao mi 	保密	c=1 d=1 t=13531
bao qian 	抱歉	c=1 d=1 t=9719
bao shou 	保守	c=6 d=1.69419 t=14272
bao shou xing 	保守性	c=11 d=1.75201 t=14283
bao zheng 	保證	c=12 d=1.00175 t=13001
bei 	北	c=7 d=1 t=14469
bei 	被	c=21 d=2.59377 t=14482
bei chu li 	被處理	c=1 d=1 t=12094
bei dong 	被動	c=2 d=1.96561 t=7651
bei fen 	備份	c=2 d=1.96561 t=9654
bei hu 	北湖	c=1 d=1 t=11522
bei jing 	北京	c=1 d=1 t=9528
bei jing 	背景	c=7 d=1 t=9526
bei kong 	被控	c=4 d=1 t=5577
bei kong dui xiang 	被控對象	c=2 d=1 t=5206
bei kui 	背峞	c=1 d=1 t=2201
bei kun 	被困	c=1 d=1 t=1339
bei yong 	備用	c=1 d=1 t=8776
bei you 	北郵	c=5 d=1.70842 t=11174
ben ci 	本次	c=1 d=1 t=5380
ben di 	本地	c=3 d=1 t=14553
ben ji 	本機	c=1 d=1 t=8772
ben jie 	本節	c=1 d=1 t=4221
ben ren 	本人	c=2 d=1.9802 t=2844
ben wen 	本文	c=28 d=1.85099 t=5828
ben xiao 	本校	c=2 d=1.76338 t=7468
ben zhe 	奔着	c=1 d=1 t=12734
ben zhong 	笨重	c=1 d=1 t=5942
bi 	比	c=7 d=1.55362 t=13665
bi a yao 	比啊喲	c=1 d=1 t=13666
bi ding 	必定	c=1 d=1 t=4434
bi huan 	閉環	c=15 d=1.50419 t=5693
bi huan xi tong 	閉環系統	c=1 d=1 t=3411
bi ji 	筆記	c=2 d=1 t=8683
bi jiao 	比較	c=21 d=1.09119 t=14430
bi jiao duo 	比較多	c=1 d=1 t=12703
bi li 	比例	c=1 d=1 t=13855
bi ni 	比你	c=0 d=0.1 t=11677
bi ni de 	比你的	c=1 d=1 t=11678
bi pei 	比配	c=1 d=1 t=12265
bi qi lai 	比起來	c=1 d=1 t=11482
bi ru 	比如	c=5 d=1.01431 t=13591
bi ru shuo 	比如說	c=1 d=1 t=13620
bi she 	畢設	c=5 d=1.91851 t=14542
bi ta 	比他	c=0 d=0.1 t=12972
bi ta men 	比他們	c=1 d=1 t=12973
bi xu 	必須	c=3 d=1 t=12438
bi yao 	必要	c=3 d=1.98511 t=13670
bi yao xing 	必要性	c=4 d=3.83488 t=13764
bi ye 	畢業	c=13 d=1 t=14527
bi ye sheng 	畢業生	c=2 d=1.78663 t=92
bi ye zhao 	畢業照	c=1 d=1 t=9558
bi zhi 	壁紙	c=5 d=2.79808 t=9273
bian 	便	c=2 d=1.86502 t=5736
bian 	變	c=5 d=1.09673 t=13121
bian 	邊	c=1 d=1 t=10367
bian bie 	辨別	c=3 d=2.91209 t=12124
bian cheng 	變成	c=2 d=1.00181 t=7067
bian hao 	編號	c=3 d=1.00005 t=11781
bian hua 	變化	c=3 d=1.96561 t=9931
bian hua lv 	變化率	c=5 d=4.85814 t=12902
bian huan 	變換	c=2 d=1 t=14290
bian ji 	編輯	c=1 d=1 t=7996
bian jie 	便捷	c=1 d=1 t=12142
bian le 	變了	c=1 d=1 t=10730
bian lian 	變臉	c=1 d=1 t=11798
bian liang 	變量	c=5 d=2.88319 t=11822
bian ren 	辨認	c=2 d=1.93239 t=12120
bian xing 	變形	c=8 d=7.60834 t=7735
bian yi 	編譯	c=14 d=1.09604 t=10674
bian yi qi 	編譯器	c=3 d=2.86562 t=10240
bian yi wan 	編譯完	c=1 d=1 t=10675
bian yu 	便於	c=11 d=2.92676 t=13876
bian yuan 	邊緣	c=1 d=1 t=2641
biao 	表	c=10 d=1 t=10935
biao da shi 	表達式	c=3 d=1.96079 t=14301
biao ge 	表格	c=2 d=1.14442 t=7705
biao shi 	表示	c=11 d=1.5249 t=13961
biao shu 	表述	c=3 d=1.00201 t=3312
biao ti 	標題	c=1 d=1 t=8983
biao ti lan 	標題欄	c=1 d=1 t=10523
biao xian 	表現	c=1 d=1 t=5473
biao zhi 	標誌	c=1 d=1 t=13047
biao zhong 	表中	c=2 d=1.00712 t=4848
biao zhu 	標註	c=7 d=1 t=11541
biao zhun 	標準	c=5 d=2.83615 t=7693
bie 	別	c=6 d=1.02474 t=14313
bie de 	別的	c=1 d=1 t=10795
bie guan ji 	別關機	c=1 d=1 t=7548
bie ke qi 	別客氣	c=1 d=1 t=8573
bie ren 	別人	c=7 d=1.00154 t=14550
bin 	斌	c=1 d=1 t=2772
bing 	並	c=22 d=1 t=12452
bing 	冰	c=3 d=2.73786 t=11132
bing bu 	並不	c=2 d=1.84789 t=6365
bing bu shi 	並不是	c=1 d=1 t=14121
bing de chu 	並得出	c=1 d=1 t=2348
bing gui 	冰櫃	c=2 d=1.99005 t=11119
bing jiang 	並將	c=1 d=1 t=1513
bing mei you 	並沒有	c=1 d=1 t=13386
bing tong guo 	並通過	c=2 d=1 t=4991
bing wei 	並未	c=1 d=1 t=5333
bing wu 	並無	c=1 d=1 t=4852
bing xiang 	冰箱	c=3 d=2.91238 t=11129
bing yu 	並與	c=1 d=1 t=11086
bo jie 	伯傑	c=1 d=1 t=9275
bo shi 	博士	c=6 d=1 t=13105
bo te 	波特	c=0 d=0.1 t=11236
bo te tu 	波特圖	c=1 d=1 t=11237
bu 	不	c=12 d=2.0025 t=14045
bu 	步	c=1 d=1 t=8102
bu 	補	c=7 d=0.286679 t=7584
bu an quan 	不安全	c=1 d=1 t=9420
bu bao han 	不包含	c=2 d=1.99501 t=12055
bu bei 	不被	c=2 d=1.97531 t=14502
bu chong 	補充	c=3 d=1.04856 t=9682
bu chu lai 	不出來	c=1 d=1 t=10792
bu dao 	不到	c=1 d=1 t=11073
bu deng shi 	不等式	c=13 d=1.78506 t=14223
bu dong 	不懂	c=1 d=1 t=905
bu dui 	不對	c=1 d=1 t=7234
bu dui 	部隊	c=1 d=1 t=11167
bu fang bian 	不方便	c=1 d=1 t=630
bu fen 	部分	c=14 d=3.006 t=9006
bu gan 	不敢	c=2 d=1.91393 t=10962
bu gei ni 	補給你	c=1 d=1 t=7585
bu gou 	不夠	c=0 d=0.1 t=10926
bu gou da 	不夠大	c=1 d=1 t=10927
bu guo 	不過	c=6 d=1.02916 t=11476
bu hao 	不好	c=1 d=1 t=1118
bu hao le 	不好了	c=1 d=1 t=8640
bu hao yong 	不好用	c=1 d=1 t=10745
bu he shi 	不合適	c=1 d=1 t=14048
bu hui 	不會	c=4 d=2.51559 t=12740
bu jin 	不僅	c=9 d=1 t=11927
bu ke 	不可	c=8 d=1.00001 t=4976
bu ke qi 	不客氣	c=1 d=1 t=9514
bu li 	不利	c=2 d=1.9802 t=14378
bu lian xu 	不連續	c=2 d=1 t=9671
bu liao 	不了	c=1 d=0.1 t=10968
bu liao le 	不了了	c=0 d=0.1 t=464
bu mai 	不賣	c=3 d=2.20755 t=841
bu man zu 	不滿足	c=1 d=1 t=13971
bu men 	部門	c=1 d=1 t=1008
bu neng 	不能	c=10 d=1.00517 t=12454
bu qing xi 	不清晰	c=1 d=1 t=11568
bu qu 	不去	c=1 d=1 t=576
bu quan 	補全	c=1 d=1 t=196
bu quan ju 	不全局	c=1 d=1 t=13447
bu que ding 	不確定	c=42 d=2.22044 t=14258
bu que ding xing 	不確定性	c=1 d=1 t=2336
bu shang 	補上	c=1 d=1 t=1300
bu shang qu 	不上去	c=1 d=1 t=10940
bu shi 	不是	c=8 d=1.11159 t=14040
bu shi shuo 	不是說	c=0 d=0.1 t=10803
bu shi ya 	不是呀	c=1 d=1 t=10673
bu shi yong 	不適用	c=1 d=1 t=9831
bu tai 	不太	c=1 d=1 t=13061
bu tai dong 	不太懂	c=1 d=1 t=11421
bu tai dui 	不太對	c=1 d=1 t=9823
bu tong 	不同	c=14 d=1.06771 t=12150
bu xian shi 	不顯示	c=1 d=1 t=9341
bu xiang 	不想	c=1 d=1 t=479
bu xing 	不行	c=1 d=1 t=612
bu xu yao 	不需要	c=1 d=1 t=7573
bu yao 	不要	c=6 d=2.58983 t=13552
bu ying gai 	不應該	c=3 d=1 t=7706
bu yong 	不用	c=4 d=1 t=13165
bu yu kuai 	不愉快	c=0 d=0.1 t=1000
bu zai 	不再	c=3 d=2.67894 t=8422
bu zhan 	不沾	c=1 d=1 t=10369
bu zheng que 	不正確	c=1 d=1 t=1887
bu zhi 	不止	c=2 d=1.00002 t=13515
bu zhi 	不知	c=1 d=1 t=410
bu zhi chi 	不支持	c=2 d=1 t=13352
bu zhi dao 	不知道	c=5 d=1.67923 t=7082
bu zhou 	步驟	c=2 d=1 t=11719
bu zi dong 	不自動	c=1 d=1 t=172
cai 	才	c=2 d=1.01477 t=9723
cai 	菜	c=0 d=0.1 t=8604
cai hui 	纔會	c=2 d=1 t=13618
cai ke yi 	纔可以	c=1 d=1 t=9546
cai liao 	材料	c=2 d=1.00001 t=8754
cai neng 	才能	c=2 d=1 t=12450
cai yang 	採樣	c=33 d=1.52471 t=11944
cai yong 	採用	c=2 d=1 t=9841
cai zhi dao 	才知道	c=1 d=1 t=8205
can kao 	參考	c=10 d=1.07693 t=8946
can kao wen xian 	參考文獻	c=1 d=1 t=1885
can shu 	參數	c=25 d=1.00272 t=14145
can yong 	蠶蛹	c=1 d=1 t=6003
can yu 	參與	c=3 d=1.91851 t=6746
can zhao 	參照	c=1 d=1 t=1176
cang qiong 	蒼穹	c=1 d=0.1 t=13656
ce 	側	c=1 d=1 t=13403
ce 	測	c=1 d=1 t=12316
ce liang 	測量	c=7 d=1.00001 t=4977
ce liang zhi 	測量值	c=2 d=1.96561 t=13843
ce lve 	策略	c=2 d=1.00001 t=12018
ce she 	測設	c=1 d=1 t=10479
ce shi 	測試	c=5 d=2.17706 t=10501
ce shu 	冊數	c=1 d=1 t=4689
ce su 	測速	c=1 d=1 t=7770
cha bie 	差別	c=1 d=1 t=1149
cha chong 	查重	c=2 d=2.01589 t=6493
cha jian 	插件	c=4 d=1.00007 t=10432
cha kan 	查看	c=10 d=2.92267 t=10552
cha ru 	插入	c=4 d=2.95064 t=13803
cha shou 	查收	c=3 d=2.16348 t=6716
cha xun 	查詢	c=1 d=1 t=8189
cha yi 	差異	c=2 d=1 t=13863
cha yue 	查閱	c=1 d=1 t=1429
chai fen 	拆分	c=0 d=0.1 t=5802
chai fen kai 	拆分開	c=1 d=1 t=5803
chan hui 	懺悔	c=1 d=1 t=11015
chan pin 	產品	c=1 d=1 t=8261
chan sheng 	產生	c=7 d=2.22435 t=14377
chan shu 	闡述	c=4 d=3.83721 t=12840
chang 	常	c=1 d=1 t=14341
chang 	長	c=3 d=1.47001 t=9063
chang le 	長了	c=1 d=1 t=13509
chang nian 	常年	c=1 d=1 t=12710
chang shi 	嘗試	c=1 d=1 t=10520
chao chu 	超出	c=3 d=2.84167 t=12830
chao ge 	超哥	c=2 d=1.57407 t=7544
chao guo 	超過	c=1 d=1 t=12689
chao ji 	超級	c=1 d=1 t=10604
chen 	陳	c=2 d=1 t=14529
cheng 	成	c=5 d=1.63128 t=10417
cheng ben 	成本	c=2 d=1.99501 t=11984
cheng gong 	成功	c=1 d=1 t=8159
cheng guo 	成果	c=11 d=1.00001 t=14264
cheng ji dan 	成績單	c=1 d=1 t=6490
cheng qing 	澄清	c=1 d=1 t=13680
cheng xian 	呈現	c=2 d=1 t=6345
cheng xu 	程序	c=3 d=1.0473 t=10546
cheng yi 	誠意	c=0 d=0.1 t=1400
cheng yi lou 	誠意樓	c=1 d=1 t=1401
chi 	吃	c=2 d=1.98511 t=8614
chi cun 	尺寸	c=4 d=1.97045 t=11567
chi fan 	吃飯	c=1 d=1 t=11046
chong dian 	充電	c=2 d=1 t=9664
chong dian xian 	充電線	c=1 d=1 t=7100
chong dian xian 	重點線	c=2 d=1.9802 t=7099
chong fen 	充分	c=22 d=2.64964 t=14279
chong fen tiao jian 	充分條件	c=2 d=1.0006 t=4581
chong gou 	重構	c=8 d=2.92712 t=5639
chong qi 	重啓	c=1 d=1 t=12499
chong tu 	衝突	c=1 d=1 t=10767
chong xian 	重現	c=2 d=1.99501 t=7618
chong xin 	重新	c=7 d=1 t=12476
chong zhi 	重置	c=2 d=1.8311 t=12753
chu 	出	c=13 d=1.02 t=12107
chu ci 	初次	c=2 d=1 t=8316
chu ci zhi wai 	除此之外	c=1 d=1 t=11890
chu fa 	出發	c=1 d=1 t=1348
chu fa 	觸發	c=82 d=2.09326 t=12132
chu fa ji zhi 	觸發機制	c=3 d=1.00003 t=6208
chu kong 	觸控	c=1 d=1 t=6514
chu lai 	出來	c=2 d=1.08006 t=7460
chu le 	除了	c=3 d=1 t=9880
chu li 	處理	c=17 d=3.55079 t=12083
chu qu 	出去	c=2 d=1.84789 t=8087
chu shi 	初始	c=1 d=1 t=3709
chu xian 	出現	c=4 d=0.252517 t=13694
chu xian zai 	出現再	c=1 d=1 t=13695
chu xing 	出行	c=1 d=1 t=12260
chu yu 	處於	c=4 d=1.99005 t=11967
chuan 	串	c=1 d=1 t=9488
chuan 	傳	c=0 d=0.1 t=4
chuan di han shu 	傳遞函數	c=1 d=1 t=11282
chuan dong 	傳動	c=1 d=1 t=1189
chuan shi 	傳世	c=1 d=1 t=5400
chuan shu 	傳輸	c=20 d=2.10863 t=12453
chuan song 	傳送	c=6 d=1 t=14305
chuan wen jian 	傳文件	c=1 d=1 t=5
chuang 	牀	c=1 d=1 t=9659
chuang jian 	創建	c=3 d=1.97054 t=10185
chuang shu 	創述	c=1 d=1 t=5146
chuang xin 	創新	c=1 d=0.894534 t=4964
chuang xin dian 	創新點	c=2 d=1.99005 t=4967
ci 	次	c=3 d=2.88995 t=8827
ci 	此	c=4 d=1.00006 t=8485
ci dian 	詞典	c=10 d=8.38396 t=9317
ci shu 	次數	c=3 d=1 t=8821
ci wai 	此外	c=2 d=1 t=12903
cong 	從	c=19 d=0.368541 t=10818
cong er 	從而	c=1 d=1 t=5675
cong jian 	從簡	c=1 d=1 t=11164
cong lai 	從來	c=1 d=1 t=12488
cong wang shang 	從網上	c=1 d=1 t=10819
cu 	粗	c=1 d=1 t=8551
cun zai 	存在	c=28 d=4.50368 t=13962
cun zai yu 	存在於	c=3 d=1.01938 t=13808
cuo 	錯	c=2 d=1.02182 t=11114
cuo le 	錯了	c=2 d=1.77105 t=11018
cuo wu 	錯誤	c=10 d=2.83076 t=10884
da 	大	c=13 d=2.2459 t=14203
da 	打	c=5 d=1.72209 t=7586
da 	答	c=6 d=5.67019 t=5524
da bian 	答辯	c=19 d=1.98516 t=8755
da bian gao 	答辯高	c=1 d=1 t=1318
da bian yong 	答辯用	c=1 d=1 t=6494
da bu fen 	大部分	c=1 d=1 t=13459
da bu kai 	打不開	c=2 d=1.02788 t=7250
da dao 	達到	c=3 d=1.06687 t=11957
da dao le 	達到了	c=1 d=1 t=1794
da dian hua 	打電話	c=6 d=1.0751 t=8264
da duo shu 	大多數	c=1 d=1 t=8415
da fu 	答覆	c=1 d=1 t=9774
da ge 	大哥	c=2 d=1.86502 t=9552
da guai 	打拐	c=1 d=1 t=11778
da jia 	大家	c=1 d=1 t=8579
da jian 	搭建	c=5 d=2.84706 t=13218
da kai 	打開	c=6 d=1.57695 t=13145
da lian 	大連	c=3 d=1.99005 t=7782
da liang 	大量	c=5 d=1.92825 t=10493
da pei 	搭配	c=1 d=1 t=353
da shi suo wang 	大失所望	c=1 d=1 t=990
da ti 	大體	c=1 d=1 t=3559
da ting 	大廳	c=1 d=1 t=11163
da tu 	大圖	c=1 d=1 t=10167
da xue 	大學	c=18 d=1.07351 t=8517
da ye 	大爺	c=1 d=1 t=10995
da yin 	打印	c=1 d=1 t=1399
da yu 	大於	c=2 d=1.1097 t=3802
da yue 	大約	c=3 d=1 t=12395
da zi 	打字	c=1 d=1 t=625
dai 	帶	c=2 d=1.99005 t=11130
dai 	待	c=5 d=1.9608 t=14485
dai biao 	代表	c=1 d=1 t=10875
dai er 	戴爾	c=2 d=1.93239 t=9150
dai ji 	待機	c=2 d=1.61878 t=12391
dai kuan 	帶寬	c=59 d=1.04234 t=14302
dai li 	代理	c=5 d=2.51361 t=13323
dai ma 	代碼	c=9 d=1 t=14551
dai ni 	帶你	c=1 d=1 t=8601
dai you 	帶有	c=2 d=1.01139 t=3417
dan 	但	c=3 d=1.00002 t=6182
dan bian liang 	單變量	c=2 d=1.96561 t=10065
dan chun 	單純	c=1 d=1 t=9946
dan ci 	單詞	c=3 d=1 t=7339
dan cong 	但從	c=1 d=1 t=2539
dan diao 	單調	c=1 d=1 t=4586
dan du 	單獨	c=2 d=1.9802 t=456
dan shi 	但是	c=40 d=1.5214 t=14036
dan wei 	單位	c=6 d=1 t=11578
dang 	當	c=4 d=1 t=10374
dang chu 	當初	c=1 d=1 t=509
dang di 	當地	c=2 d=1.66365 t=847
dang qian 	當前	c=4 d=1.00039 t=13335
dang shi 	當時	c=3 d=1 t=10902
dang xian 	當先	c=1 d=1 t=2226
dang yuan 	黨員	c=1 d=1 t=6816
dao 	刀	c=2 d=1.98511 t=10918
dao 	到	c=35 d=1.96671 t=13306
dao 	道	c=3 d=1.00001 t=11170
dao chu 	導出	c=5 d=1 t=14534
dao ci 	到此	c=4 d=1.23751 t=4896
dao hang 	導航	c=1 d=1 t=9231
dao hang tiao 	導航條	c=1 d=1 t=366
dao mei 	倒霉	c=0 d=0.1 t=9565
dao mei le 	倒霉了	c=1 d=1 t=9566
dao ru 	導入	c=1 d=1 t=10936
dao shi 	導師	c=4 d=1.00157 t=6725
dao shi hou 	到時候	c=2 d=1.94176 t=7568
dao shu 	倒數	c=1 d=1 t=7343
dao shu 	導數	c=10 d=1.00836 t=5756
dao zhi 	導致	c=4 d=1.94176 t=14357
de 	得	c=7 d=1.00001 t=14053
de 	的	c=1042 d=29.9581 t=14532
de chu 	得出	c=0 d=0.1 t=2347
de dao 	得到	c=24 d=1.00189 t=12964
de zheng 	得證	c=1 d=1 t=4603
deng 	等	c=8 d=0.1 t=12857
deng dai 	等待	c=8 d=1 t=10892
deng de 	等的	c=1 d=1 t=7136
deng ji biao 	登記表	c=3 d=1 t=6724
deng jia 	等價	c=6 d=1.8311 t=14463
deng jia yu 	等價於	c=1 d=1 t=4479
deng ling yu 	等領域	c=1 d=1 t=12858
deng lu 	登錄	c=9 d=1.12065 t=13153
deng wen ti 	等問題	c=1 d=1 t=5283
deng yu 	等於	c=1 d=1 t=3361
di 	低	c=4 d=1.43909 t=12741
di 	地	c=29 d=6.6909 t=14312
di 	第	c=37 d=4.18519 t=4909
di bai 	迪拜	c=3 d=2.95556 t=9093
di chu 	地處	c=1 d=1 t=5477
di er 	第二	c=1 d=1 t=325
di er ge 	第二個	c=1 d=1 t=8322
di er hang 	第二行	c=2 d=1.94649 t=7344
di er zhang 	第二章	c=1 d=1 t=2072
di er zu 	第二組	c=1 d=1 t=6228
di fang 	地方	c=2 d=1 t=8462
di jian 	遞減	c=2 d=1.99005 t=4587
di li 	地理	c=1 d=1 t=5156
di que 	的確	c=2 d=1 t=11473
di san fang 	第三方	c=1 d=1 t=8655
di san zhang 	第三章	c=8 d=1.00003 t=6001
di san zu 	第三組	c=1 d=1 t=6230
di si zhang 	第四章	c=1 d=1 t=5999
di tie 	地鐵	c=1 d=1 t=6700
di tu 	地圖	c=3 d=1.97531 t=6545
di yi 	第一	c=2 d=1 t=4304
di yi ci 	第一次	c=3 d=1 t=7839
di yi ge 	第一個	c=1 d=1 t=4474
di yi hang 	第一行	c=1 d=1 t=13019
di yi ye 	第一頁	c=2 d=1.99501 t=1305
di zhi 	地址	c=5 d=1.00002 t=11066
dian 	點	c=13 d=2.27749 t=13438
dian dian 	點點	c=1 d=1 t=13517
dian dong 	電動	c=2 d=1.75957 t=6792
dian gan 	電感	c=1 d=1 t=13795
dian hua 	電話	c=4 d=1.21172 t=7902
dian hua 	點化	c=0 d=0.1 t=11602
dian hua xian 	點化線	c=1 d=1 t=11603
dian ji 	點擊	c=2 d=1 t=13091
dian jin qu 	點進去	c=2 d=1.77105 t=13393
dian li 	電力	c=4 d=2.58956 t=8947
dian li dian zi 	電力電子	c=3 d=1.02404 t=1186
dian liu 	電流	c=0 d=0.1 t=13846
dian liu zhi 	電流值	c=1 d=1 t=13847
dian lu 	電路	c=9 d=1.0101 t=13828
dian lu tu 	電路圖	c=2 d=1.8781 t=13819
dian lu zhong 	電路中	c=1 d=1 t=6019
dian nao 	電腦	c=14 d=1.56358 t=13180
dian ya 	電壓	c=2 d=1.99501 t=12934
dian ya zhi 	電壓值	c=2 d=1.9802 t=13849
dian ying 	電影	c=4 d=1.99501 t=13597
dian yuan 	店員	c=1 d=1 t=7178
dian zi 	電子	c=3 d=2.58956 t=8948
dian zi ban 	電子版	c=1 d=1 t=7454
dian zu 	電阻	c=3 d=1.02966 t=13794
diao 	掉	c=2 d=1 t=9386
diao cha 	調查	c=3 d=2.8102 t=10845
diao cha pai 	調查派	c=2 d=1.86502 t=10851
ding 	丁	c=1 d=1 t=13689
ding 	定	c=0 d=0.1 t=9534
ding dan 	訂單	c=1 d=1 t=8157
ding dian 	頂點	c=1 d=1 t=11612
ding li 	定理	c=62 d=1 t=12996
ding li 	鼎力	c=1 d=1 t=8059
ding xia lai 	定下來	c=1 d=1 t=255
ding yi 	定義	c=6 d=1 t=13674
diu bao 	丟包	c=1 d=1 t=5328
dong 	凍	c=1 d=1 t=11131
dong 	動	c=1 d=1 t=14249
dong 	東	c=1 d=1 t=9638
dong ci 	動詞	c=1 d=1 t=13788
dong de 	凍得	c=1 d=1 t=11040
dong ge 	東哥	c=8 d=5.85968 t=1291
dong hua 	動畫	c=1 d=1 t=11100
dong man 	動漫	c=11 d=1.13188 t=11690
dong tai 	動態	c=4 d=1.98511 t=9091
dong xi 	東西	c=4 d=1.01751 t=12437
dou 	豆	c=4 d=2.35271 t=14032
dou 	都	c=20 d=1.19261 t=14033
dou 	鬥	c=5 d=1 t=9270
dou bei 	都被	c=1 d=1 t=10922
dou bo 	斗袚	c=0 d=0.1 t=11176
dou bo cang qiong 	斗袚蒼穹	c=1 d=1 t=11177
dou hao 	都好	c=0 d=0.1 t=13490
dou hao yong 	都好用	c=1 d=1 t=13491
dou ke yi 	都可以	c=1 d=1 t=13381
dou kuai 	都快	c=1 d=1 t=7241
dou mei 	都沒	c=0 d=0.1 t=7203
dou mei huo 	都沒貨	c=1 d=1 t=7204
dou po 	豆粕	c=1 d=0.100054 t=13656
dou po cang qiong 	豆粕蒼穹	c=1 d=1 t=13657
dou shi 	都是	c=10 d=1.0002 t=14266
dou shuo 	都說	c=1 d=1 t=7143
dou ying gai 	都應該	c=2 d=1 t=9887
dou yong 	都用	c=1 d=1 t=13507
dou zai 	都在	c=1 d=1 t=12356
dou zou 	都走	c=1 d=1 t=8580
du 	度	c=16 d=1.00773 t=14081
du 	讀	c=2 d=1.9802 t=9199
du qu 	讀取	c=1 d=1 t=11147
du xie 	讀寫	c=2 d=1.97531 t=10489
du zhe 	讀者	c=2 d=1 t=12794
duan 	端	c=1 d=0.15234 t=11087
duan huo 	斷貨	c=1 d=1 t=7144
duan kou 	端口	c=7 d=1.00002 t=13259
duan lu 	短路	c=1 d=1 t=13816
duan qi 	短期	c=2 d=1.7788 t=7479
duan xin 	短信	c=1 d=1 t=7823
dui 	對	c=69 d=1.0879 t=14347
dui bi 	對比	c=4 d=2.83761 t=9942
dui chen 	對稱	c=1 d=1 t=6989
dui cheng 	對稱	c=1 d=1 t=6983
dui ci 	對此	c=1 d=1 t=3059
dui diao 	對調	c=1 d=1 t=4464
dui ding li 	對定理	c=1 d=1 t=5850
dui le 	對了	c=2 d=1.00062 t=12346
dui o 	對哦	c=1 d=1 t=7235
dui qi 	對其	c=1 d=1 t=8112
dui qi 	對齊	c=1 d=1 t=7324
dui shu 	對數	c=1 d=1 t=13659
dui wo 	對我	c=1 d=1 t=5378
dui xiang 	對象	c=8 d=1.00001 t=5578
dui ying 	對應	c=6 d=1.50662 t=11751
dui ying yu 	對應於	c=9 d=1.0055 t=12995
dui yu 	對於	c=13 d=1.11419 t=11697
duo 	多	c=6 d=1.67706 t=12624
duo bian liang 	多變量	c=9 d=7.43888 t=10089
duo bu duo 	多不多	c=1 d=1 t=7555
duo ge 	多個	c=2 d=1 t=6750
duo hang 	多行	c=1 d=1 t=10301
duo jiu 	多久	c=2 d=1.13466 t=926
duo kuai 	多塊	c=1 d=1 t=7158
duo kuan 	多款	c=1 d=1 t=7157
duo mian 	多面	c=1 d=1 t=5216
duo mian ti 	多面體	c=3 d=1.00001 t=5234
duo shao 	多少	c=1 d=1 t=12397
duo shu ru 	多輸入	c=1 d=1 t=10073
duo yu 	多餘	c=1 d=1 t=6178
e 	額	c=4 d=1.00007 t=13168
e du 	額度	c=1 d=1 t=8321
e luo si 	俄羅斯	c=1 d=1 t=9702
e mo 	惡魔	c=0 d=0.1 t=905
